NPDES_ID,LAST_OUTFALL,PERMITTEE,COUNTY,BASIN,DOWNLOAD_FLAG,MONITORING_DATA_DOWNLOADED,BASIN_NAME
TX0054623,3,CITY OF BLANCO,BLANCO,18,FALSE,NPDESMonitoringData_TX0054623.xlsx,Guadalupe
TX0137545,1,CITY OF BLANCO,BLANCO,18,FALSE,NPDESMonitoringData_TX0137545.xlsx,Guadalupe
TX0022764,1,CITY OF LULING,CALDWELL,18,FALSE,NPDESMonitoringData_TX0022764.xlsx,Guadalupe
TX0022772,1,CITY OF LULING,CALDWELL,18,FALSE,NPDESMonitoringData_TX0022772.xlsx,Guadalupe
TX0023868,1,CITY OF LOCKHART & GUADALUPE-BLANCO RIVER AUTHORITY,CALDWELL,18,FALSE,NPDESMonitoringData_TX0023868.xlsx,Guadalupe
TX0030970,1,CITY OF LULING,CALDWELL,18,FALSE,NPDESMonitoringData_TX0030970.xlsx,Guadalupe
TX0113565,1,CITY OF LOCKHART & GUADALUPE-BLANCO RIVER AUTHORITY,CALDWELL,18,FALSE,NPDESMonitoringData_TX0113565.xlsx,Guadalupe
TX0117170,1,POLONIA WSC,CALDWELL,18,FALSE,NPDESMonitoringData_TX0117170.xlsx,Guadalupe
TX0117188,1,POLONIA WSC,CALDWELL,18,FALSE,NPDESMonitoringData_TX0117188.xlsx,Guadalupe
TX0125865,1,WALTON TEXAS LP,CALDWELL,18,FALSE,NPDESMonitoringData_TX0125865.xlsx,Guadalupe
TX0129810,1,JDB TURNER CREST WASTEWATER LLC,CALDWELL,18,FALSE,NPDESMonitoringData_TX0129810.xlsx,Guadalupe
TX0129879,1,WALTON TEXAS LP,CALDWELL,18,FALSE,NPDESMonitoringData_TX0129879.xlsx,Guadalupe
TX0133655,1,AQUA WATER SUPPLY CORP,CALDWELL,18,FALSE,NPDESMonitoringData_TX0133655.xlsx,Guadalupe
TX0133892,1,WALTON TEXAS LP,CALDWELL,18,FALSE,NPDESMonitoringData_TX0133892.xlsx,Guadalupe
TX0134368,1,WALTON TEXAS LP,CALDWELL,18,FALSE,NPDESMonitoringData_TX0134368.xlsx,Guadalupe
TX0134481,1,POLONIA WSC,CALDWELL,18,FALSE,NPDESMonitoringData_TX0134481.xlsx,Guadalupe
TX0134783,1,WALTON TEXAS LP,CALDWELL,18,FALSE,NPDESMonitoringData_TX0134783.xlsx,Guadalupe
TX0136069,1,WALTON TEXAS LP,CALDWELL,18,FALSE,NPDESMonitoringData_TX0136069.xlsx,Guadalupe
TX0136425,1,WALTON TEXAS LP,CALDWELL,18,FALSE,NPDESMonitoringData_TX0136425.xlsx,Guadalupe
TX0138835,1,CHERRYVILLE GP INC AND CHERRYVILLE NO 5 LTD,CALDWELL,18,FALSE,NPDESMonitoringData_TX0138835.xlsx,Guadalupe
TX0139122,1,PLUM CREEK UTILITY CO LLC,CALDWELL,18,FALSE,NPDESMonitoringData_TX0139122.xlsx,Guadalupe
TX0067881,1,NEW BRAUNFELS UTILITIES,COMAL,18,FALSE,NPDESMonitoringData_TX0067881.xlsx,Guadalupe
TX0070939,1,NEW BRAUNFELS UTILITIES,COMAL,18,FALSE,NPDESMonitoringData_TX0070939.xlsx,Guadalupe
TX0088170,1,NEW BRAUNFELS UTILITIES,COMAL,18,FALSE,NPDESMonitoringData_TX0088170.xlsx,Guadalupe
TX0133248,2,NEW BRAUNFELS UTILITIES,COMAL,18,FALSE,NPDESMonitoringData_TX0133248.xlsx,Guadalupe
TX0133515,1,CLIFF VIEW CONDOMINIUM COMMUNITY INC,COMAL,18,FALSE,NPDESMonitoringData_TX0133515.xlsx,Guadalupe
TX0133914,1,CITY OF BULVERDE,COMAL,18,FALSE,NPDESMonitoringData_TX0133914.xlsx,Guadalupe
TX0135488,1,CRYSTAL CLEAR SUD,COMAL,18,FALSE,NPDESMonitoringData_TX0135488.xlsx,Guadalupe
TX0135976,1,MEYER RANCH MUD OF COMAL COUNTY,COMAL,18,FALSE,NPDESMonitoringData_TX0135976.xlsx,Guadalupe
TX0024244,1,CITY OF CUERO,DEWITT,18,FALSE,NPDESMonitoringData_TX0024244.xlsx,Guadalupe
TX0054631,1,CITY OF YORKTOWN,DEWITT,18,FALSE,NPDESMonitoringData_TX0054631.xlsx,Guadalupe
TX0023183,1,CITY OF FLATONIA,FAYETTE,18,FALSE,NPDESMonitoringData_TX0023183.xlsx,Guadalupe
TX0070068,3,COLETO CREEK POWER LP,GOLIAD,18,FALSE,NPDESMonitoringData_TX0070068.xlsx,Guadalupe
TX0027243,1,CITY OF GONZALES,GONZALES,18,FALSE,NPDESMonitoringData_TX0027243.xlsx,Guadalupe
TX0034452,1,CITY OF WAELDER,GONZALES,18,FALSE,NPDESMonitoringData_TX0034452.xlsx,Guadalupe
TX0057274,3,BYK ADDITIVES INC,GONZALES,18,FALSE,NPDESMonitoringData_TX0057274.xlsx,Guadalupe
TX0069809,1,CITY OF SMILEY,GONZALES,18,FALSE,NPDESMonitoringData_TX0069809.xlsx,Guadalupe
TX0070785,1,CITY OF NIXON,GONZALES,18,FALSE,NPDESMonitoringData_TX0070785.xlsx,Guadalupe
TX0123358,1,BYK ADDITIVES INC,GONZALES,18,FALSE,NPDESMonitoringData_TX0123358.xlsx,Guadalupe
TX0126021,1,SCHERTZ/SEGUIN LOCAL GOVERNMENT CORP,GONZALES,18,FALSE,NPDESMonitoringData_TX0126021.xlsx,Guadalupe
TX0128741,1,HOLMES FOOD INC,GONZALES,18,FALSE,NPDESMonitoringData_TX0128741.xlsx,Guadalupe
TX0138215,1,GONZALES COUNTY WSC,GONZALES,18,FALSE,NPDESMonitoringData_TX0138215.xlsx,Guadalupe
TX0138231,1,GONZALES COUNTY WSC,GONZALES,18,FALSE,NPDESMonitoringData_TX0138231.xlsx,Guadalupe
TX0022365,1,CITY OF SEGUIN,GUADALUPE,18,FALSE,NPDESMonitoringData_TX0022365.xlsx,Guadalupe
TX0025208,2,GUADALUPE-BLANCO RIVER AUTHORITY,GUADALUPE,18,FALSE,NPDESMonitoringData_TX0025208.xlsx,Guadalupe
TX0025224,1,GUADALUPE-BLANCO RIVER AUTHORITY,GUADALUPE,18,FALSE,NPDESMonitoringData_TX0025224.xlsx,Guadalupe
TX0083178,1,STRUCTURAL METALS INC,GUADALUPE,18,FALSE,NPDESMonitoringData_TX0083178.xlsx,Guadalupe
TX0103535,1,CITY OF SEGUIN,GUADALUPE,18,FALSE,NPDESMonitoringData_TX0103535.xlsx,Guadalupe
TX0118923,1,GUADALUPE-BLANCO RIVER AUTHORITY,GUADALUPE,18,FALSE,NPDESMonitoringData_TX0118923.xlsx,Guadalupe
TX0131351,1,CANYON REGIONAL WATER AUTHORITY,GUADALUPE,18,FALSE,NPDESMonitoringData_TX0131351.xlsx,Guadalupe
TX0139521,1,REGAL LLC,GUADALUPE,18,FALSE,NPDESMonitoringData_TX0139521.xlsx,Guadalupe
TX0139688,1,REGAL LLC,GUADALUPE,18,FALSE,NPDESMonitoringData_TX0139688.xlsx,Guadalupe
TX0047945,1,CITY OF SAN MARCOS,HAYS,18,FALSE,NPDESMonitoringData_TX0047945.xlsx,Guadalupe
TX0057436,2,CITY OF BUDA AND GBRA,HAYS,18,FALSE,NPDESMonitoringData_TX0057436.xlsx,Guadalupe
TX0117676,1,AUS-TEX PARTS & SERVICE LTD,HAYS,18,FALSE,NPDESMonitoringData_TX0117676.xlsx,Guadalupe
TX0119466,1,CITY OF KYLE,HAYS,18,FALSE,NPDESMonitoringData_TX0119466.xlsx,Guadalupe
TX0125288,3,SUNFIELD MUD NO 4 & GBRA,HAYS,18,FALSE,NPDESMonitoringData_TX0125288.xlsx,Guadalupe
TX0128201,1,NORTH HAYS COUNTY MUD 1,HAYS,18,FALSE,NPDESMonitoringData_TX0128201.xlsx,Guadalupe
TX0133132,1,DEVELOPMENT SOLUTIONS CW LLC,HAYS,18,FALSE,NPDESMonitoringData_TX0133132.xlsx,Guadalupe
TX0135445,1,CITY OF WIMBERLY,HAYS,18,FALSE,NPDESMonitoringData_TX0135445.xlsx,Guadalupe
TX0135712,1,DMS REAL TREE LLC,HAYS,18,FALSE,NPDESMonitoringData_TX0135712.xlsx,Guadalupe
TX0137111,1,WINDY HILL UTILITY CO LLC,HAYS,18,FALSE,NPDESMonitoringData_TX0137111.xlsx,Guadalupe
TX0138118,1,PLUM CREEK UTILITY COMPANY LLC,HAYS,18,FALSE,NPDESMonitoringData_TX0138118.xlsx,Guadalupe
TX0139131,1,CRYSTAL CLEAR SUD AND MCLB LAND LLC,HAYS,18,FALSE,NPDESMonitoringData_TX0139131.xlsx,Guadalupe
TX0139238,1,HK REAL ESTATE DEVELOPMENT LLC,HAYS,18,FALSE,NPDESMonitoringData_TX0139238.xlsx,Guadalupe
TX0116742,1,KENDALL COUNTY WCID 1,KENDALL,18,FALSE,NPDESMonitoringData_TX0116742.xlsx,Guadalupe
TX0047333,1,CITY OF KERRVILLE,KERR,18,FALSE,NPDESMonitoringData_TX0047333.xlsx,Guadalupe
TX0136298,1,HILL COUNTRY CAMP,KERR,18,FALSE,NPDESMonitoringData_TX0136298.xlsx,Guadalupe
TX0138452,1,THE CAMP RECOVERY CENTERS LLC,KERR,18,FALSE,NPDESMonitoringData_TX0138452.xlsx,Guadalupe
TX0003603,2,VICTORIA WLE LP,VICTORIA,18,FALSE,NPDESMonitoringData_TX0003603.xlsx,Guadalupe
TX0005118,1,SOUTH TEXAS ELECTRIC COOPERATIVE INC,VICTORIA,18,FALSE,NPDESMonitoringData_TX0005118.xlsx,Guadalupe
TX0006050,6,INVISTA S A R L,VICTORIA,18,FALSE,NPDESMonitoringData_TX0006050.xlsx,Guadalupe
TX0023477,1,QUAIL CREEK MUD,VICTORIA,18,FALSE,NPDESMonitoringData_TX0023477.xlsx,Guadalupe
TX0025186,1,CITY OF VICTORIA,VICTORIA,18,FALSE,NPDESMonitoringData_TX0025186.xlsx,Guadalupe
TX0132128,1,DEVEREUX FOUNDATION,VICTORIA,18,FALSE,NPDESMonitoringData_TX0132128.xlsx,Guadalupe
TX0132829,1,CITY OF VICTORIA,VICTORIA,18,FALSE,NPDESMonitoringData_TX0132829.xlsx,Guadalupe
TX0133981,1,HALEPASKA PROPERTY MANAGEMENT LLC,VICTORIA,18,FALSE,NPDESMonitoringData_TX0133981.xlsx,Guadalupe
TX0022390,1,CITY OF BANDERA,BANDERA,19,FALSE,NPDESMonitoringData_TX0022390.xlsx,San Antonio
TX0024082,1,SAN ANTONIO RIVER AUTHORITY,BEXAR,19,FALSE,NPDESMonitoringData_TX0024082.xlsx,San Antonio
TX0030040,2,CAPITOL AGGREGATES INC,BEXAR,19,FALSE,NPDESMonitoringData_TX0030040.xlsx,San Antonio
TX0052639,2,SAN ANTONIO WATER SYSTEM,BEXAR,19,FALSE,NPDESMonitoringData_TX0052639.xlsx,San Antonio
TX0052647,1,SAN ANTONIO WATER SYSTEM,BEXAR,19,FALSE,NPDESMonitoringData_TX0052647.xlsx,San Antonio
TX0053074,1,SAN ANTONIO RIVER AUTHORITY,BEXAR,19,FALSE,NPDESMonitoringData_TX0053074.xlsx,San Antonio
TX0055689,1,SAN ANTONIO WATER SYSTEM,BEXAR,19,FALSE,NPDESMonitoringData_TX0055689.xlsx,San Antonio
TX0063681,18,CITY PUBLIC SERVICE OF SAN ANTONIO,BEXAR,19,FALSE,NPDESMonitoringData_TX0063681.xlsx,San Antonio
TX0063690,19,CITY PUBLIC SERVICE OF SAN ANTONIO,BEXAR,19,FALSE,NPDESMonitoringData_TX0063690.xlsx,San Antonio
TX0063703,101,CITY PUBLIC SERVICE OF SAN ANTONIO,BEXAR,19,FALSE,NPDESMonitoringData_TX0063703.xlsx,San Antonio
TX0065641,1,SAN ANTONIO WATER SYSTEM,BEXAR,19,FALSE,NPDESMonitoringData_TX0065641.xlsx,San Antonio
TX0074331,1,CITY OF SOMERSET,BEXAR,19,FALSE,NPDESMonitoringData_TX0074331.xlsx,San Antonio
TX0074799,1,EAST CENTRAL ISD,BEXAR,19,FALSE,NPDESMonitoringData_TX0074799.xlsx,San Antonio
TX0077232,2,CIBOLO CREEK MUNICIPAL AUTHORITY,BEXAR,19,FALSE,NPDESMonitoringData_TX0077232.xlsx,San Antonio
TX0077801,6,SAN ANTONIO WATER SYSTEM,BEXAR,19,FALSE,NPDESMonitoringData_TX0077801.xlsx,San Antonio
TX0090603,1,LEON SPRINGS UTILITY CO,BEXAR,19,FALSE,NPDESMonitoringData_TX0090603.xlsx,San Antonio
TX0095583,1,SAN ANTONIO RIVER AUTHORITY,BEXAR,19,FALSE,NPDESMonitoringData_TX0095583.xlsx,San Antonio
TX0117536,1,SAN ANTONIO RIVER AUTHORITY,BEXAR,19,FALSE,NPDESMonitoringData_TX0117536.xlsx,San Antonio
TX0125083,1,SAN ANTONIO WATER SYSTEM,BEXAR,19,FALSE,NPDESMonitoringData_TX0125083.xlsx,San Antonio
TX0126969,1,SAN ANTONIO RIVER AUTHORITY,BEXAR,19,FALSE,NPDESMonitoringData_TX0126969.xlsx,San Antonio
